Name,Type,Byte,Bit,Length
DB664.ActValX0,Real,0,0,4
DB664.ActValX1,Real,4,0,4
DB664.ActValX2,Real,8,0,4
DB664.ActValX3,Real,12,0,4
DB664.ActValX4,Real,16,0,4
DB664.ActValX5,Real,20,0,4
DB664.ActValX6,Real,24,0,4
DB664.ActValX7,Real,28,0,4
DB664.ActValX8,Real,32,0,4
DB664.ActValX9,Real,36,0,4
DB664.ActValX10,Real,40,0,4
DB664.ActValY0,Real,44,0,4
DB664.ActValY1,Real,48,0,4
DB664.ActValY2,Real,52,0,4
DB664.ActValY3,Real,56,0,4
DB664.ActValY4,Real,60,0,4
DB664.ActValY5,Real,64,0,4
DB664.ActValY6,Real,68,0,4
DB664.ActValY7,Real,72,0,4
DB664.ActValY8,Real,76,0,4
DB664.ActValY9,Real,80,0,4
DB664.ActValY10,Real,84,0,4
