Name,Type,Byte,Bit,Length
DB669.Input0,Bool,0,0,1
DB669.Input1,Bool,0,1,1
DB669.Input2,Bool,0,2,1
DB669.Input3,Bool,0,3,1
DB669.Input4,Bool,0,4,1
DB669.Input5,Bool,0,5,1
DB669.Input6,Bool,0,6,1
DB669.Input7,Bool,0,7,1
DB669.Input8,Bool,1,0,1
DB669.Input9,Bool,1,1,1
DB669.Input10,Bool,1,2,1
DB669.Input11,Bool,1,3,1
DB669.Input12,Bool,1,4,1
DB669.Input13,Bool,1,5,1
DB669.Input14,Bool,1,6,1
DB669.Input15,Bool,1,7,1
DB669.Input16,Bool,2,0,1
DB669.Input17,Bool,2,1,1
DB669.Input18,Bool,2,2,1
DB669.Input19,Bool,2,3,1
DB669.Input20,Bool,2,4,1
DB669.Input21,Bool,2,5,1
DB669.Input22,Bool,2,6,1
DB669.Input23,Bool,2,7,1
DB669.Input24,Bool,3,0,1
DB669.Input25,Bool,3,1,1
DB669.Input26,Bool,3,2,1
DB669.Input27,Bool,3,3,1
DB669.Input28,Bool,3,4,1
DB669.Input29,Bool,3,5,1
DB669.Input30,Bool,3,6,1
DB669.Inpu31,Bool,3,7,1
DB669.Input32,Bool,4,0,1
DB669.Input33,Bool,4,1,1
DB669.Input34,Bool,4,2,1
DB669.Input35,Bool,4,3,1
DB669.Input36,Bool,4,4,1
DB669.Input37,Bool,4,5,1
DB669.Input38,Bool,4,6,1
DB669.Input39,Bool,4,7,1
DB669.Input40,Bool,5,0,1
DB669.Input41,Bool,5,1,1
DB669.Input42,Bool,5,2,1
DB669.Input43,Bool,5,3,1
DB669.Input44,Bool,5,4,1
DB669.Input45,Bool,5,5,1
DB669.Input46,Bool,5,6,1
DB669.Input47,Bool,5,7,1
DB669.Input48,Bool,6,0,1
DB669.Input49,Bool,6,1,1
DB669.Input50,Bool,6,2,1
DB669.Output0,Bool,8,0,1
DB669.Output1,Bool,8,1,1
DB669.Output2,Bool,8,2,1
DB669.Output3,Bool,8,3,1
DB669.Output4,Bool,8,4,1
DB669.Output5,Bool,8,5,1
DB669.Output6,Bool,8,6,1
DB669.Output7,Bool,8,7,1
DB669.Output8,Bool,9,0,1
DB669.Output9,Bool,9,1,1
DB669.Output10,Bool,9,2,1
DB669.Output11,Bool,9,3,1
DB669.Output12,Bool,9,4,1
DB669.Output13,Bool,9,5,1
DB669.Output14,Bool,9,6,1
DB669.Output15,Bool,9,7,1
DB669.Output16,Bool,10,0,1
DB669.Output17,Bool,10,1,1
DB669.Output18,Bool,10,2,1
DB669.Output19,Bool,10,3,1
DB669.Output20,Bool,10,4,1
DB669.Output21,Bool,10,5,1
DB669.Output22,Bool,10,6,1
DB669.Output23,Bool,10,7,1
DB669.Output24,Bool,11,0,1
DB669.Output25,Bool,11,1,1
DB669.Output26,Bool,11,2,1
DB669.Output27,Bool,11,3,1
DB669.Output28,Bool,11,4,1
DB669.Output29,Bool,11,5,1
DB669.Output30,Bool,11,6,1
DB669.Output31,Bool,11,7,1
DB669.Output32,Bool,12,0,1
DB669.Output33,Bool,12,1,1
DB669.Output34,Bool,12,2,1
DB669.Output35,Bool,12,3,1
DB669.Output36,Bool,12,4,1
DB669.Output37,Bool,12,5,1
DB669.Output38,Bool,12,6,1
DB669.Output39,Bool,12,7,1
DB669.Output40,Bool,13,0,1
DB669.Output41,Bool,13,1,1
DB669.Output42,Bool,13,2,1
DB669.Output43,Bool,13,3,1
DB669.Output44,Bool,13,4,1
DB669.Output45,Bool,13,5,1
DB669.Output46,Bool,13,6,1
DB669.Output47,Bool,13,7,1
DB669.Output48,Bool,14,0,1
DB669.Output49,Bool,14,1,1
DB669.Output50,Bool,14,2,1
