Opis zdarzenia;Numer karty;Data i Godzina DD-MM-YY H:M
Event - Logowanie użytkownika;1;2024-04-29 09:47:51
Event - Logowanie użytkownika;1;2024-04-29 09:49:23
Event - Logowanie użytkownika;1;2024-04-29 09:52:10
Event - Logowanie użytkownika;1;2024-04-29 01:00:37
Event - Logowanie użytkownika;1;2024-04-29 13:03:15
Event - Logowanie użytkownika;1;2024-04-29 18:40:31
Event - Logowanie użytkownika;1;2024-04-29 19:55:24
Event - Logowanie użytkownika;1;2024-04-29 19:56:38
Event - Logowanie użytkownika;1;2024-04-29 20:00:27
Event - Logowanie użytkownika;1;2024-04-29 20:02:53
