Opis zdarzenia;Numer karty;Data i Godzina DD-MM-YY H:M
Event - Logowanie użytkownika;1;2024-05-01 10:44:34
Event - Logowanie użytkownika;1;2024-05-01 10:46:58
Event - Logowanie użytkownika;1;2024-05-01 10:47:35
Event - Logowanie użytkownika;1;2024-05-01 10:48:31
Event - Logowanie użytkownika;1;2024-05-01 10:51:21
Event - Logowanie użytkownika;1;2024-05-01 10:55:50
Event - Logowanie użytkownika;1;2024-05-01 11:05:04
Event - Logowanie użytkownika;1;2024-05-01 11:09:37
Event - Logowanie użytkownika;1;2024-05-01 11:15:34
Event - Logowanie użytkownika;1;2024-05-01 11:19:31
Event - Logowanie użytkownika;1;2024-05-01 11:24:46
Event - Logowanie użytkownika;1;2024-05-01 11:28:10
Event - Logowanie użytkownika;1;2024-05-01 11:29:59
Event - Logowanie użytkownika;1;2024-05-01 12:01:38
Event - Logowanie użytkownika;1;2024-05-01 12:03:33
Event - Logowanie użytkownika;1;2024-05-01 12:04:24
Event - Logowanie użytkownika;1;2024-05-01 12:07:59
Event - Logowanie użytkownika;1;2024-05-01 12:09:40
Event - Logowanie użytkownika;1;2024-05-01 12:10:22
Event - Logowanie użytkownika;1;2024-05-01 12:12:48
Event - Przezbrojenie;1;2024-05-01 12:13:00
